[08:28:03] Using device: cuda:0
[08:28:03] Loading training data...
[08:28:03] Training samples: 4150
[08:28:03] Loading validation data...
[08:28:03] Validation samples: 1012
[08:28:03] Initializing model...
[08:28:03] Model initialized on cuda:0
[08:28:03] 
=== Epoch 1/80 ===
[08:28:03] Learning rate: 0.000100
[08:28:06] Epoch 0 | Batch 0/518 | Loss: 5.3622
[08:28:10] Epoch 0 | Batch 10/518 | Loss: 4.4241
[08:28:15] Epoch 0 | Batch 20/518 | Loss: 4.3767
[08:28:19] Epoch 0 | Batch 30/518 | Loss: 4.1960
[08:28:24] Epoch 0 | Batch 40/518 | Loss: 4.0420
[08:28:28] Epoch 0 | Batch 50/518 | Loss: 3.7150
[08:28:32] Epoch 0 | Batch 60/518 | Loss: 3.7567
[08:28:37] Epoch 0 | Batch 70/518 | Loss: 3.5901
[08:28:41] Epoch 0 | Batch 80/518 | Loss: 3.6884
[08:28:45] Epoch 0 | Batch 90/518 | Loss: 3.6339
[08:28:50] Epoch 0 | Batch 100/518 | Loss: 3.6057
[08:28:54] Epoch 0 | Batch 110/518 | Loss: 3.3826
[08:28:59] Epoch 0 | Batch 120/518 | Loss: 3.6570
[08:29:03] Epoch 0 | Batch 130/518 | Loss: 3.4183
[08:29:08] Epoch 0 | Batch 140/518 | Loss: 3.6549
[08:29:12] Epoch 0 | Batch 150/518 | Loss: 3.4536
[08:29:16] Epoch 0 | Batch 160/518 | Loss: 3.4502
[08:29:21] Epoch 0 | Batch 170/518 | Loss: 3.2607
[08:29:25] Epoch 0 | Batch 180/518 | Loss: 3.4179
[08:29:30] Epoch 0 | Batch 190/518 | Loss: 3.2340
[08:29:34] Epoch 0 | Batch 200/518 | Loss: 3.4177
[08:29:39] Epoch 0 | Batch 210/518 | Loss: 3.2594
[08:29:43] Epoch 0 | Batch 220/518 | Loss: 3.2459
[08:29:48] Epoch 0 | Batch 230/518 | Loss: 3.1864
[08:29:52] Epoch 0 | Batch 240/518 | Loss: 3.3075
[08:29:57] Epoch 0 | Batch 250/518 | Loss: 3.4444
[08:30:02] Epoch 0 | Batch 260/518 | Loss: 3.1632
[08:30:06] Epoch 0 | Batch 270/518 | Loss: 3.0362
[08:30:10] Epoch 0 | Batch 280/518 | Loss: 3.2248
[08:30:14] Epoch 0 | Batch 290/518 | Loss: 3.2883
[08:30:19] Epoch 0 | Batch 300/518 | Loss: 2.9674
[08:30:23] Epoch 0 | Batch 310/518 | Loss: 3.2189
[08:30:28] Epoch 0 | Batch 320/518 | Loss: 3.0954
[08:30:32] Epoch 0 | Batch 330/518 | Loss: 3.3759
[08:30:36] Epoch 0 | Batch 340/518 | Loss: 3.1204
[08:30:41] Epoch 0 | Batch 350/518 | Loss: 2.8586
[08:30:45] Epoch 0 | Batch 360/518 | Loss: 3.1310
[08:30:50] Epoch 0 | Batch 370/518 | Loss: 3.2458
[08:30:54] Epoch 0 | Batch 380/518 | Loss: 3.0715
[08:30:59] Epoch 0 | Batch 390/518 | Loss: 3.1374
[08:31:03] Epoch 0 | Batch 400/518 | Loss: 3.1415
[08:31:08] Epoch 0 | Batch 410/518 | Loss: 3.0526
[08:31:12] Epoch 0 | Batch 420/518 | Loss: 3.0565
[08:31:16] Epoch 0 | Batch 430/518 | Loss: 2.9611
[08:31:21] Epoch 0 | Batch 440/518 | Loss: 2.8894
[08:31:25] Epoch 0 | Batch 450/518 | Loss: 2.8209
[08:31:30] Epoch 0 | Batch 460/518 | Loss: 3.0674
[08:31:34] Epoch 0 | Batch 470/518 | Loss: 2.8981
[08:31:39] Epoch 0 | Batch 480/518 | Loss: 3.2297
[08:31:43] Epoch 0 | Batch 490/518 | Loss: 3.2069
[08:31:48] Epoch 0 | Batch 500/518 | Loss: 3.0800
[08:31:52] Epoch 0 | Batch 510/518 | Loss: 3.1672
[08:31:55] Train Loss: 1.6754
[08:32:19] Val Loss: 1.0529 | AUC: 0.7704 | IOU: 0.0826 | SIM: 0.4058 | MAE: 0.1756
[08:32:19] 
=== Epoch 2/80 ===
[08:32:19] Learning rate: 0.000100
[08:32:20] Epoch 1 | Batch 0/518 | Loss: 2.9568
[08:32:25] Epoch 1 | Batch 10/518 | Loss: 2.9790
[08:32:29] Epoch 1 | Batch 20/518 | Loss: 3.1212
[08:32:34] Epoch 1 | Batch 30/518 | Loss: 2.6687
[08:32:38] Epoch 1 | Batch 40/518 | Loss: 3.0106
[08:32:42] Epoch 1 | Batch 50/518 | Loss: 2.7956
[08:32:47] Epoch 1 | Batch 60/518 | Loss: 2.8358
[08:32:51] Epoch 1 | Batch 70/518 | Loss: 2.8410
[08:32:56] Epoch 1 | Batch 80/518 | Loss: 2.6496
[08:33:00] Epoch 1 | Batch 90/518 | Loss: 2.9104
[08:33:05] Epoch 1 | Batch 100/518 | Loss: 3.2448
[08:33:09] Epoch 1 | Batch 110/518 | Loss: 2.9187
[08:33:13] Epoch 1 | Batch 120/518 | Loss: 3.0219
[08:33:17] Epoch 1 | Batch 130/518 | Loss: 2.9817
[08:33:22] Epoch 1 | Batch 140/518 | Loss: 3.1885
[08:33:26] Epoch 1 | Batch 150/518 | Loss: 2.9143
[08:33:31] Epoch 1 | Batch 160/518 | Loss: 2.7093
[08:33:35] Epoch 1 | Batch 170/518 | Loss: 2.6501
[08:33:40] Epoch 1 | Batch 180/518 | Loss: 2.8023
[08:33:44] Epoch 1 | Batch 190/518 | Loss: 2.9297
[08:33:48] Epoch 1 | Batch 200/518 | Loss: 2.8198
[08:33:53] Epoch 1 | Batch 210/518 | Loss: 2.7690
[08:33:57] Epoch 1 | Batch 220/518 | Loss: 2.7837
[08:34:02] Epoch 1 | Batch 230/518 | Loss: 3.0477
[08:34:06] Epoch 1 | Batch 240/518 | Loss: 2.9349
[08:34:11] Epoch 1 | Batch 250/518 | Loss: 2.7482
