[01:05:17] Using device: cuda:0
[01:05:17] Loading training data...
[01:05:17] Training samples: 4150
[01:05:17] Loading validation data...
[01:05:17] Validation samples: 1012
[01:05:17] Initializing model...
[01:05:18] Model initialized on cuda:0
[01:05:18] 
=== Epoch 1/1 ===
[01:05:18] Learning rate: 0.000100
[01:10:05] Epoch 0 | Batch 870/1037 | Loss: 3.6263
[01:10:08] Epoch 0 | Batch 880/1037 | Loss: 3.2505
[01:10:11] Epoch 0 | Batch 890/1037 | Loss: 3.6126
[01:10:15] Epoch 0 | Batch 900/1037 | Loss: 3.7210
[01:10:18] Epoch 0 | Batch 910/1037 | Loss: 3.2738
[01:10:21] Epoch 0 | Batch 920/1037 | Loss: 3.1951
[01:10:24] Epoch 0 | Batch 930/1037 | Loss: 3.1882
[01:10:28] Epoch 0 | Batch 940/1037 | Loss: 3.1324
[01:10:31] Epoch 0 | Batch 950/1037 | Loss: 3.1838
[01:10:34] Epoch 0 | Batch 960/1037 | Loss: 3.3608
[01:10:38] Epoch 0 | Batch 970/1037 | Loss: 3.3321
[01:10:42] Epoch 0 | Batch 980/1037 | Loss: 3.1541
[01:10:46] Epoch 0 | Batch 990/1037 | Loss: 3.5348
[01:10:49] Epoch 0 | Batch 1000/1037 | Loss: 3.2482
[01:10:52] Epoch 0 | Batch 1010/1037 | Loss: 3.2242
[01:10:55] Epoch 0 | Batch 1020/1037 | Loss: 3.1437
[01:10:58] Epoch 0 | Batch 1030/1037 | Loss: 3.3905
[01:11:00] Train Loss: 1.7790
[01:11:34] Val Loss: 1.0521 | AUC: 0.7473 | IOU: 0.0795 | SIM: 0.4164 | MAE: 0.1474
[01:11:34] 
==================================================
[01:11:34] Training completed successfully!
[01:11:35] Model saved: 2026-3-17-1-5-Seen-model.pt
[01:11:35] Training curves saved: 2026-3-17-1-5-Seen-loss.png
